id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t18;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codi3_8x;i3_8x_2;codi3_est;i3_est_2;codi3_otr;i3_otr_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e8;e12;e13;e14;edad_30;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;sn1_1;sn1_7;sn1_2;sn1_3;sn1_4;sn1_5;s2;sn2;sn2_cant;sn4;sn5;sn16;s28;s29;fexp
1283;1;1;6;4;36;2;1;6;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;8401;6;1;2;4;10333;0;0;1;1;0;2;0;0;1;30000;1;30000;0;0;2;0;1;30000;2;0;2;0;2;0;2;0;2;0;2;0;1;30000;1;30000;30000;2;0;0;0;13;1;0;36;7;17;6;6;0;2007;3;2;1;2;2;2;2;1;1;2;3;5;1;2;0;436
1284;1;1;12;4;36;2;1;1;0;0;1;3;0;0;0;0;0;0;1;12.00;2;0;2;8401;6;1;2;4;35333;0;0;1;1;0;2;0;0;1;22000;1;22000;0;0;2;0;1;22000;2;0;2;0;2;0;2;0;2;0;2;0;1;22000;1;39000;13000;2;0;0;0;13;2;11;36;6;12;1;1;0;1;2;1;2;2;2;2;2;1;2;0;3;5;3;1;1;389
1284;1;2;12;4;31;1;2;1;0;0;1;3;0;0;0;0;0;0;2;75.00;2;0;1;4807;3;2;2;3;35323;0;0;1;1;0;2;0;0;1;13000;1;13000;1;4000;2;0;1;17000;2;0;2;0;2;0;2;0;2;0;2;0;1;17000;1;39000;13000;1;3;12;1;0;0;0;30;6;12;1;1;0;1;1;2;2;2;2;2;2;3;2;0;2;1;4;0;0;389
1284;1;3;12;4;0;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39000;13000;3;0;0;0;0;0;0;0;8;0;1;1;0;1;2;1;2;2;2;2;2;1;1;2;3;5;1;0;0;389
1285;1;1;2;4;36;1;1;1;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;8401;6;1;2;4;10202;0;0;1;1;0;2;0;0;1;32000;1;32000;0;0;2;0;1;32000;2;0;2;0;2;0;2;0;2;0;2;0;1;32000;1;42000;14000;2;0;0;0;13;2;3;36;6;15;2;2;0;1995;2;1;2;2;2;2;2;2;2;0;1;7;3;0;0;150
1285;1;2;2;4;34;2;2;1;0;0;1;2;0;0;0;0;0;0;1;30.00;2;0;2;1400;1;2;1;1;50113;2;0;0;0;0;0;2;0;1;10000;1;10000;0;0;2;0;1;10000;2;0;2;0;2;0;2;0;2;0;2;0;1;10000;1;42000;14000;2;0;0;0;13;2;4;34;6;16;2;2;0;2005;2;1;2;2;2;2;2;2;2;0;3;6;2;1;1;150
1285;1;3;2;4;2;2;3;0;1;2;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;42000;14000;1;3;16;0;0;0;0;2;1;0;1;1;0;1;2;1;2;2;2;2;2;1;1;2;1;6;3;0;0;150
1286;1;1;12;4;36;2;1;1;0;0;1;3;0;0;0;1;1;2;0;0.00;0;0;2;5900;5;2;2;4;45331;0;0;1;1;0;2;0;0;1;39000;1;39000;0;0;2;0;1;39000;2;0;2;0;2;0;2;0;2;0;2;0;1;39000;1;78000;19500;2;0;0;0;13;1;0;36;7;17;1;1;0;2016;2;1;2;2;2;2;2;1;1;1;3;7;1;1;1;371
1286;1;2;12;4;38;1;2;1;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;5900;5;2;2;4;45331;0;0;1;1;0;2;0;0;1;39000;1;39000;0;0;2;0;1;39000;2;0;2;0;2;0;2;0;2;0;2;0;1;39000;1;78000;19500;2;0;0;0;12;1;0;37;7;15;6;6;0;2006;2;1;2;2;2;2;2;1;1;1;3;6;2;0;0;371
1286;1;3;12;4;0;1;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;78000;19500;3;0;0;0;0;0;0;0;8;0;1;1;0;1;2;1;2;2;2;2;2;1;1;1;3;7;1;0;0;371
1286;1;4;12;4;7;2;3;0;2;95;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;78000;19500;1;2;3;2;0;0;0;7;2;1;6;6;0;2010;2;1;2;2;2;2;2;1;2;0;3;7;1;0;0;371
1287;1;1;15;4;36;2;1;1;0;0;1;2;0;0;0;0;0;0;1;30.00;2;0;2;8600;7;2;2;1;40131;2;0;0;0;0;0;2;0;1;15000;1;15000;0;0;2;0;1;15000;2;0;2;0;2;0;2;0;2;0;2;0;1;15000;1;65000;21667;2;0;0;0;13;1;0;36;7;17;6;6;0;1999;2;1;2;2;2;2;2;1;1;1;3;6;1;1;1;186
1287;1;2;15;4;40;1;2;1;0;0;1;3;0;0;0;0;0;0;1;30.00;2;0;2;8401;6;1;2;4;11332;0;0;1;1;0;2;0;0;1;50000;1;50000;0;0;2;0;1;50000;2;0;2;0;2;0;2;0;2;0;2;0;1;50000;1;65000;21667;2;0;0;0;13;1;0;39;7;17;6;6;0;2003;2;1;2;2;2;2;2;2;2;0;3;5;1;0;0;186
1287;1;3;15;4;1;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;65000;21667;1;3;16;0;0;0;0;1;1;0;1;1;0;1;2;1;2;2;2;2;2;1;1;1;1;5;2;0;0;186
1288;1;1;15;4;36;1;1;1;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;6400;5;2;2;4;20332;0;0;1;1;0;2;0;0;1;33500;1;33500;0;0;2;0;1;33500;2;0;2;0;2;0;2;0;2;0;2;0;1;33500;1;61500;15375;2;0;0;0;13;2;1;35;6;13;1;1;0;1;2;1;2;2;2;2;2;1;1;2;1;6;3;0;0;310
1288;1;2;15;4;41;2;2;1;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;6400;5;2;2;4;20333;0;0;1;1;0;2;0;0;1;28000;1;28000;0;0;2;0;1;28000;2;0;2;0;2;0;2;0;2;0;2;0;1;28000;1;61500;15375;2;0;0;0;12;1;0;41;7;15;3;3;0;2005;2;1;2;2;2;2;2;1;2;0;1;6;2;1;2;310
1288;1;3;15;4;4;1;3;0;1;2;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61500;15375;1;2;18;0;0;0;0;4;1;0;1;1;0;1;2;1;2;2;2;2;2;1;1;2;1;6;1;0;0;310
1288;1;4;15;4;2;2;3;0;1;2;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61500;15375;1;1;16;0;0;0;0;2;1;0;1;1;0;1;2;1;2;2;2;2;2;1;2;0;1;6;1;0;0;310
1289;1;1;7;4;36;2;1;2;0;0;1;3;0;0;0;0;0;0;1;12.00;2;0;2;8501;7;1;2;3;41331;0;0;1;1;0;2;0;0;9;4000;9;4000;0;0;2;0;9;4000;2;0;2;0;2;0;2;0;2;0;2;0;9;4000;9;35000;8750;2;0;0;0;13;1;0;35;7;17;1;1;0;1;2;1;2;2;2;2;2;2;2;0;3;5;1;1;2;309
1289;1;2;7;4;36;1;2;2;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;6900;5;2;2;3;20331;0;0;1;1;0;2;0;0;9;31000;9;31000;0;0;2;0;9;31000;2;0;2;0;2;0;2;0;2;0;2;0;9;31000;9;35000;8750;2;0;0;0;13;1;0;36;7;17;1;1;0;1;2;1;2;2;2;2;2;2;2;0;3;5;2;0;0;309
