id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
207;1;2;4;2;2;1;2;1;1;468
208;1;13;4;2;3;1;3;1;1;531
209;1;1;4;2;2;1;2;1;7;257
210;1;1;4;2;2;2;2;1;1;141
211;1;14;4;2;3;2;3;1;3;217
212;1;14;4;2;2;2;2;1;1;495
213;1;13;4;2;4;2;4;1;2;242
214;1;4;4;9;4;3;4;1;1;98
215;1;1;4;2;3;2;3;1;2;138
216;1;5;4;2;3;3;3;1;7;255
217;1;3;4;2;2;2;2;1;4;77
218;1;1;3;1;2;3;2;2;3;138
219;1;4;3;8;2;2;2;1;3;228
220;1;1;3;1;1;3;1;3;4;76
221;1;4;4;2;1;3;1;3;3;143
222;1;7;4;2;2;1;2;1;1;234
223;1;13;4;2;2;2;2;1;3;219
224;1;8;4;2;1;2;1;2;4;88
225;1;11;4;2;3;2;3;1;7;281
226;1;5;4;1;2;1;2;1;7;166
227;1;9;4;9;2;2;2;1;4;227
228;1;10;4;9;1;2;1;3;3;203
229;1;2;4;2;2;3;2;1;1;318
230;1;4;3;1;1;2;1;2;3;355
231;1;1;3;2;1;3;1;2;3;130
232;1;9;4;2;2;2;2;2;5;243
233;1;8;4;2;1;2;1;2;4;167
234;1;5;4;10;1;2;1;3;3;313
235;1;5;4;2;2;2;2;2;5;263
236;1;15;4;2;3;3;3;1;1;38
237;1;4;4;2;2;2;2;1;1;106
238;1;4;4;1;2;2;2;1;1;212
239;1;5;4;10;1;2;1;1;1;240
240;1;4;4;2;2;2;2;1;1;135
241;1;12;4;2;2;2;2;1;1;309
242;1;1;4;2;1;2;1;2;3;517
243;1;11;4;2;1;2;1;1;1;155
244;1;3;4;2;2;2;2;1;1;213
245;1;13;4;2;2;2;2;1;1;295
246;1;2;4;2;3;1;3;1;1;336
247;1;3;4;2;2;2;2;1;1;304
248;1;2;4;2;3;1;3;1;7;156
249;1;13;4;2;2;2;2;1;1;366
250;1;8;4;2;2;1;2;1;1;85
251;1;1;4;2;1;2;1;1;1;167
252;1;9;4;9;1;3;1;3;4;261
253;1;13;4;2;2;2;2;1;1;320
254;1;6;4;2;3;2;3;1;7;197
255;1;15;4;2;3;3;3;1;3;215
256;1;4;4;2;2;3;2;3;3;219
257;1;10;4;2;2;2;2;1;1;110
258;1;15;4;2;1;1;1;1;1;310
259;1;13;4;2;1;2;1;1;1;352
260;1;12;4;2;1;2;1;1;1;384
261;1;7;4;2;6;2;6;1;7;315
262;1;13;4;2;1;2;1;2;3;211
263;1;2;4;2;2;1;2;1;7;152
264;1;2;4;2;2;2;2;1;1;252
265;1;7;3;1;1;2;1;2;3;99
266;1;8;4;2;1;2;1;2;3;104
267;1;7;3;1;2;2;2;1;3;118
268;1;15;4;10;1;2;1;2;3;33
269;1;9;4;2;2;3;2;1;3;294
270;1;5;4;2;2;2;2;1;1;206
271;1;4;4;1;2;3;2;1;1;288
272;1;10;4;2;2;2;2;1;1;153
273;1;5;4;2;2;1;2;2;7;279
274;1;1;3;2;2;3;2;1;3;75
275;1;5;4;2;3;2;3;1;5;310
276;1;15;4;2;2;1;2;1;1;303
277;1;14;4;10;1;3;1;3;3;165
278;1;7;4;10;1;2;1;2;3;210
279;1;1;4;9;1;2;1;1;1;158
280;1;5;4;1;2;2;2;1;1;258
281;1;8;4;2;3;3;3;1;4;139
282;1;7;3;1;2;2;2;2;5;134
283;1;2;4;2;1;2;1;2;7;139
284;1;1;4;10;2;2;2;1;2;261
285;1;4;4;9;1;3;1;3;3;126
286;1;8;4;2;2;2;2;1;5;108
287;1;1;4;2;1;2;1;3;7;311
288;1;4;4;2;2;2;2;1;1;643
289;1;14;4;2;3;1;3;1;1;350
290;1;6;4;2;2;2;2;1;3;233
291;1;2;4;2;1;2;1;2;3;417
292;1;14;4;2;1;3;1;1;1;413
293;1;6;4;2;2;2;2;1;3;186
294;1;3;4;2;1;2;1;2;3;144
295;1;12;4;2;2;2;2;1;3;371
296;1;1;4;9;1;2;0;0;1;140
297;1;3;4;2;2;2;2;1;7;459
298;1;11;4;2;2;2;2;1;1;210
299;1;15;4;1;4;2;1;1;1;239
299;2;15;4;1;4;2;1;1;1;239
300;1;4;4;2;1;2;1;1;1;106
301;1;2;4;2;2;3;2;1;3;312
302;1;2;4;2;3;2;3;1;7;139
303;1;14;4;2;3;2;3;1;3;186
304;1;5;4;2;1;2;1;2;3;216
305;1;4;3;2;1;3;1;2;4;173
306;1;12;4;2;3;2;3;1;2;179
307;1;1;4;2;3;2;1;1;1;168
308;1;2;4;2;3;2;3;1;7;134
309;1;11;4;2;4;2;4;1;3;393
310;1;4;4;2;3;1;3;1;1;210
311;1;11;4;2;1;2;1;2;2;189
312;1;11;4;2;1;2;1;2;3;264
313;1;2;4;2;2;2;2;1;7;180
314;1;2;4;2;1;2;1;1;1;327
315;1;2;4;2;2;1;2;1;7;90
316;1;3;4;2;3;2;3;1;1;292
317;1;3;4;2;3;1;3;1;7;358
318;1;13;4;2;2;2;2;1;3;241
319;1;4;4;2;2;2;2;1;1;148
320;1;15;4;2;2;1;2;1;3;180
321;1;6;4;2;2;2;2;1;1;378
322;1;2;4;2;5;2;5;1;7;159
323;1;10;4;9;1;2;1;2;3;237
324;1;3;4;10;1;2;1;2;7;127
325;1;10;4;10;1;2;1;2;7;166
326;1;7;3;1;3;2;3;1;3;134
327;1;8;4;1;1;2;1;3;3;804
328;1;10;4;2;3;2;3;1;7;102
329;1;4;4;2;2;2;2;1;3;156
330;1;1;3;1;2;3;2;1;3;130
331;1;11;4;2;3;2;3;1;3;393
332;1;1;3;1;2;3;2;1;3;130
333;1;10;4;2;1;2;1;2;3;119
334;1;8;4;2;3;2;3;1;3;163
335;1;3;4;10;1;2;1;1;1;293
336;1;9;4;2;3;2;3;1;5;216
337;1;4;3;1;3;3;3;2;5;355
338;1;7;4;2;2;2;2;1;3;220
339;1;1;4;2;1;2;1;2;3;150
340;1;11;4;1;3;2;3;1;3;112
341;1;4;4;2;3;2;3;1;3;93
342;1;7;4;2;4;2;4;1;3;242
343;1;15;4;2;2;2;2;2;3;56
344;1;5;4;2;1;2;1;2;7;354
345;1;2;4;2;2;2;2;1;3;143
346;1;3;4;2;3;1;3;1;3;165
347;1;10;4;2;3;2;3;1;4;225
348;1;7;4;2;2;2;2;1;4;202
349;1;2;4;2;1;2;1;1;1;135
350;1;1;4;2;1;2;1;1;1;211
351;1;13;4;2;2;2;2;1;1;456
352;1;6;4;2;1;1;1;1;1;349
353;1;2;4;2;2;2;2;1;3;242
354;1;14;4;2;1;2;1;1;1;108
355;1;13;4;2;4;2;1;1;1;234
355;2;13;4;2;4;2;1;1;1;234
356;1;13;4;2;2;2;2;1;3;209
357;1;13;4;2;1;2;1;1;1;293
358;1;12;4;2;1;2;1;1;1;645
359;1;2;4;2;2;2;2;1;1;205
360;1;2;4;2;1;2;1;1;1;208
361;1;4;4;2;2;2;2;1;3;53
362;1;12;4;2;2;2;2;1;1;308
363;1;14;4;2;2;2;2;1;1;349
364;1;10;4;2;3;2;3;1;4;267
365;1;2;4;2;7;1;7;1;7;357
366;1;9;4;2;4;3;4;1;2;115
367;1;1;4;2;2;2;2;1;4;127
368;1;1;4;2;2;2;2;1;3;234
369;1;14;4;2;1;2;1;1;1;773
370;1;13;4;2;3;3;3;1;1;276
371;1;1;4;2;1;2;1;1;1;104
372;1;1;4;2;2;2;2;1;3;327
373;1;5;4;2;2;2;2;1;3;242
374;1;1;4;2;2;2;2;1;1;135
375;1;13;4;2;2;3;2;1;1;330
376;1;5;4;2;2;2;2;1;3;148
377;1;14;4;2;2;2;2;1;1;617
378;1;15;4;2;2;2;2;1;1;256
